time,super,crypto,combined
2026-06-10 01:33,80432.98,14535.27,94968.25
2026-06-10 02:34,80432.98,14535.27,94968.25
2026-06-10 03:34,80432.98,14535.27,94968.25
2026-06-10 04:34,80432.98,14535.27,94968.25
2026-06-10 05:35,80432.98,14535.27,94968.25
2026-06-10 06:35,80432.98,14535.27,94968.25
2026-06-10 07:35,80432.98,14535.27,94968.25
2026-06-10 08:36,80432.98,14535.27,94968.25
2026-06-10 09:36,80432.98,14535.27,94968.25
2026-06-10 10:36,80432.98,14535.27,94968.25
2026-06-10 11:37,80432.98,14535.27,94968.25
2026-06-10 12:37,80432.98,14535.27,94968.25
2026-06-10 13:38,80432.98,14535.27,94968.25
2026-06-10 14:38,80432.98,14535.27,94968.25
2026-06-10 15:38,80429.37,14535.27,94964.64
2026-06-10 16:38,80434.77,14535.27,94970.04
2026-06-10 17:39,80434.17,14535.27,94969.44
2026-06-10 18:39,80436.57,14535.27,94971.84
2026-06-10 19:39,80430.57,14535.27,94965.84
2026-06-10 20:40,80431.77,14535.27,94967.04
2026-06-10 21:40,80428.77,14535.27,94964.04
2026-06-10 22:41,80425.16,14535.27,94960.43
2026-06-10 23:41,80425.16,14535.27,94960.43
2026-06-11 00:41,80425.16,14535.27,94960.43
2026-06-11 01:41,80425.16,14535.27,94960.43
