zeit,pruefungen,abweichungen,details
2026-08-12 12:54,16,2,Cron: SEC-Tagesabruf: keine Ausgabe (/tmp/sec_daily.log fehlt) | Cron: Telegram-Auswertung: keine Ausgabe (/tmp/tg_watch.log fehlt)
2026-08-12 13:08,17,0,
2026-08-12 13:16,17,0,
2026-08-13 09:00,17,0,
2026-08-14 09:00,17,0,
2026-08-15 09:00,17,0,
2026-08-16 09:00,17,0,
2026-08-17 09:00,17,0,
2026-08-18 09:00,17,0,
2026-08-19 09:00,17,0,
2026-08-20 09:00,17,0,
2026-08-21 09:00,17,0,
2026-08-21 11:27,17,0,
2026-08-21 12:49,17,0,
2026-08-21 21:29,18,0,
2026-08-21 22:34,19,0,
2026-08-22 01:00,21,0,
2026-08-22 09:00,21,0,
2026-08-23 09:00,21,0,
2026-08-24 09:00,21,0,
2026-08-25 09:00,21,0,
2026-08-26 09:00,21,0,
2026-08-27 09:00,21,0,
