captured,addr,symbol,first_seen,age_h,n_buyers,n_funded,max_cluster,genesis,insiders,insider_nets
2026-07-21 23:47,SrxbiYw29qnTH9dwg3LyNVg9UMHwsfjC9U9dkCtpump,USOH,2026-07-21 21:05,4.0,25,23,1,False,603,3
2026-07-21 23:47,cdxxwBUAxxtwQjpjCAh7PSUDKdNuRYYWk2gKhUipump,ANSEMOTHY,2026-07-21 21:54,2.1,2,1,1,True,0,0
2026-07-22 00:00,4x7zDPjiWo4q5hJ97FXC1kkjtPDpqGKAi4h6roFkpump,USOH,2026-07-21 23:14,1.0,20,19,1,False,1607,1
2026-07-22 00:01,HWvpE3aqpDvLCnzytUR1KwCRD94MFk8E4ECpqXuVpump,fablechain,2026-07-21 23:29,0.7,20,16,1,False,0,0
2026-07-22 00:01,5iLwg9wZ3AC4p6pWggQxptyXfBYjtpmvdLEJu6zKpump,冬瓜,2026-07-21 23:41,0.5,5,3,2,True,0,0
2026-07-22 00:02,GtpUa2zbVcyJdvk2PRADam5uUcQsx8KAndMWUCMTpump,BabyTrump,2026-07-21 23:44,0.6,14,7,1,True,0,0
2026-07-22 00:08,DDmGRJ7x4oP88VBWhYMQfZ8ZacJsmS8pC8KYY2stpump,PVE,2026-07-21 23:44,0.6,7,3,1,False,4,1
2026-07-22 00:08,8JjeSHi4LsbAHbCvk5mDDoMbkaB9eiZHsVu67fNXpump,psyopcat,2026-07-22 00:01,0.3,0,0,0,False,0,0
2026-07-22 00:08,2bFc6R3Wr8e9frH5BDNHoD3vcLQk1DBQzUkrSdADpump,GokuSem,2026-07-22 00:03,0.5,13,7,1,True,0,0
2026-07-22 00:14,9tGLRvTTmm4MHCGUaULjpQbHFLg6JPLyqTz4k64Cpump,ROKO,2026-07-22 00:11,0.3,10,8,1,True,4,1
2026-07-22 00:19,4ygnBZgFwZPmWgYJH785y1LJhUXCUPtRZYd2Mrhzpump,SEKHMET,2026-07-22 00:18,0.5,11,9,4,True,0,0
2026-07-22 00:44,12aV3ZvmqjLhB3KAdtQoL5Fvh5y8ap62DFQeZ3XRpump,JIMBERLY,2026-07-22 00:40,0.4,9,7,1,False,6,1
2026-07-22 00:55,2HBTVUsaorJ1axpMxkqBv1c85nyXp34GFMnrSA2ipump,Cuda,2026-07-22 00:53,1.1,20,11,1,True,0,0
2026-07-22 01:16,Ar3vVpZt2xZB5Z52F2tkWAXRiYM6umWUhRBJvUVXpump,Cuda,2026-07-22 01:13,0.5,17,7,1,True,0,0
2026-07-22 01:51,H1nnMBj8HEPyAjcPQiZfFfcJhUnWRG2H7UZ3oLA6pump,AFTER,2026-07-22 01:46,0.3,4,3,1,False,12,3
2026-07-22 01:52,5BbPYNEV69mDfjbN8BLThjQNjHcWNi1VaZ93bqb9pump,USOH,2026-07-22 01:49,0.3,20,10,1,True,1607,2
