time,addr,symbol,mint_auth,freeze_auth,top1,top5,top10,top10_ex1
2026-07-13 02:06,FPfFX4Z4DhtGJKDbw2dSrSZkPG8YKdaod535Me4rpump,gaycoin,False,False,2.9,10.3,16.3,14.2
2026-07-13 03:27,Ey7h7iJ95AYttb5P2MzBPxwYVj4XogCKdmXqaM2Apump,Bagwork,False,False,15.0,28.4,37.1,23.5
2026-07-13 04:00,3CChnMXYAuFfoht6LKGStSbE7FwJcTEbW4JgEp4Jpump,WSB,False,False,20.1,42.3,48.1,28.9
2026-07-13 04:04,95DkBPaKpUMPFkK5AJd9SfjcnuTCHNDLpwiUon3ppump,CHESS,False,False,20.0,46.6,53.7,35.0
2026-07-13 04:47,895Ag4YTKAMkeWtyKruqe1arJMjEQ1AA5swg6E8ypump,United,False,False,15.0,25.6,32.8,19.0
2026-07-13 05:35,fTHfbaPvnv3Nui7gjw89Pczo98VkdmfQ6bYYUzmpump,KISUNLAF5,False,False,14.3,22.3,29.2,15.9
2026-07-13 05:44,Hs5EDt766NjWsyseh3HnC61t9y9NVD67vfPvLQhDpump,ROBINSOL,False,False,9.9,37.8,56.5,49.0
2026-07-13 06:07,BMye8b7A8hVqLSmKhQqZ8j3By2iFto9A71GPP6YQpump,nom,False,False,20.6,33.7,48.7,30.8
2026-07-13 06:20,BMye8b7A8hVqLSmKhQqZ8j3By2iFto9A71GPP6YQpump,nom,False,False,25.7,38.4,53.3,30.1
2026-07-13 06:20,Ch1vdFT6dVmkVLbJkBXGBv8iyhWv9ik1C45cYNsFpump,SUNNYS,False,False,3.9,11.3,16.2,12.7
2026-07-13 06:25,Ch1vdFT6dVmkVLbJkBXGBv8iyhWv9ik1C45cYNsFpump,SUNNYS,False,False,4.0,11.5,16.4,12.7
2026-07-13 06:25,fTHfbaPvnv3Nui7gjw89Pczo98VkdmfQ6bYYUzmpump,KISUNLAF5,False,False,85.3,90.5,93.3,8.5
2026-07-13 06:25,Hs5EDt766NjWsyseh3HnC61t9y9NVD67vfPvLQhDpump,ROBINSOL,False,False,82.2,91.1,95.2,13.4
2026-07-13 06:26,BMye8b7A8hVqLSmKhQqZ8j3By2iFto9A71GPP6YQpump,nom,False,False,25.5,38.2,53.1,30.3
2026-07-13 06:57,F4TnftPoSHihw9TTcz7pkg2t8P6QEHag4yayMVGSpump,Wukong,False,False,10.0,20.2,30.0,21.7
2026-07-13 07:00,66R44YgXe6ZbxRmDiBqkQ5t6yHu72isuE8BbS6u684fu,acat,False,False,18.5,27.3,36.4,19.3
2026-07-13 07:46,25emjiLfw57XCqBcCuCQ6MQXmAP5VivXTeLVdGUvpump,阿宝,False,False,21.7,32.9,41.6,21.4
2026-07-13 07:49,FhxKHmrieSPZgNEwx7riXMn1FzAWzuDV6ajqqbd7pump,趁热打铁,False,False,7.1,10.3,14.1,7.8
2026-07-13 07:50,4cpMpucTLt8cy7tJViTYA6wJKzBdVazmMQV9sVNMpump,VIPER,False,False,9.8,25.2,44.1,37.3
2026-07-13 08:20,9qg92PWjYgTowgu7MEbNQZMWaxhC4fZUA9nQMTT4pump,老刘,False,False,16.3,28.2,38.3,23.8
2026-07-13 08:22,2KtxVYKMSAvHsRY4jAkhG4Kfy8A69FxYtx3t7t93pump,PINKJAK,False,False,14.9,27.9,40.0,27.3
