zeit,equity,DBC,GLD,SHY,SPY
2026-07-26 21:30:09,9997.5,1499.62,1499.62,1999.5,4998.75
2026-07-26 21:30:12,9997.5,1499.62,1499.62,1999.5,4998.75
2026-07-27 22:40:04,9954.34,1435.31,1512.18,2001.95,5004.91
2026-07-28 22:40:04,9926.52,1415.02,1490.95,2003.66,5016.9
2026-07-29 22:40:03,9898.02,1455.59,1497.85,2004.88,4939.7
2026-07-30 22:40:03,10000.92,1450.64,1522.39,2005.37,5022.52
2026-07-31 22:40:04,10020.59,1457.08,1499.71,2005.12,5058.68
2026-08-03 22:40:04,10059.45,1508.92,1508.92,2011.89,5029.72
2026-08-04 22:40:05,10132.75,1479.14,1518.86,2014.35,5120.4
2026-08-05 22:40:05,10194.99,1488.02,1581.7,2015.09,5110.18
2026-08-06 22:40:05,10204.34,1507.87,1581.82,2012.63,5102.02
2026-08-07 22:40:08,10276.83,1510.48,1617.55,2015.58,5133.22
2026-08-10 22:40:05,10343.52,1563.78,1634.07,2013.98,5131.69
2026-08-12 09:33:37,10323.16,1565.87,1627.65,2014.35,5115.29
2026-08-12 22:40:04,10360.6,1573.18,1643.73,2015.58,5128.1
