ts,coin,meme,venue,symbol,mid,spread_bp,impact_buy_100,impact_buy_200,impact_buy_300,impact_buy_500,impact_sell_100,impact_sell_200,impact_sell_300,impact_sell_500,roundtrip_bp_100,roundtrip_bp_200,roundtrip_bp_300,roundtrip_bp_500
2026-08-21 23:06 UTC,BTC,False,hyperliquid,BTC,78477.5,0.13,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,9.13,9.13,9.13,9.13
2026-08-21 23:06 UTC,BTC,False,dydx,BTC-USD,78488.5,2.17,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,12.17,12.17,12.17,12.17
2026-08-21 23:06 UTC,ETH,False,hyperliquid,ETH,2519.85,0.40,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,9.40,9.40,9.40,9.40
2026-08-21 23:06 UTC,ETH,False,dydx,ETH-USD,2518.85,9.93,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,19.93,19.93,19.93,19.93
2026-08-21 23:06 UTC,SOL,False,hyperliquid,SOL,94.1825,0.11,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,9.11,9.11,9.11,9.11
2026-08-21 23:06 UTC,SOL,False,dydx,SOL-USD,94.165,9.56,7.59,8.84,9.25,9.59,4.78,4.78,4.78,4.78,22.37,23.62,24.03,24.37
2026-08-21 23:06 UTC,XRP,False,hyperliquid,XRP,1.4575,1.37,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,10.37,10.37,10.37,10.37
2026-08-21 23:06 UTC,XRP,False,dydx,XRP-USD,1.4524,9.64,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,19.64,19.64,19.64,19.64
2026-08-21 23:06 UTC,AVAX,False,hyperliquid,AVAX,7.86775,0.13,0.06,0.06,0.06,0.06,1.63,1.74,1.77,1.98,10.69,10.80,10.84,11.04
2026-08-21 23:06 UTC,AVAX,False,dydx,AVAX-USD,7.739,183.49,400.66,402.55,403.18,403.69,91.74,91.74,91.74,91.74,502.40,504.29,504.93,505.43
2026-08-21 23:06 UTC,LINK,False,hyperliquid,LINK,12.176,1.64,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,10.64,10.64,10.64,10.64
2026-08-21 23:06 UTC,LINK,False,dydx,LINK-USD,12.251,137.13,68.57,68.57,68.57,68.57,68.57,68.57,68.57,68.57,147.13,147.13,147.13,147.13
2026-08-21 23:06 UTC,LTC,False,hyperliquid,LTC,53.7135,1.30,0.65,0.65,0.65,0.69,0.65,0.65,0.65,0.65,10.30,10.30,10.30,10.34
2026-08-21 23:06 UTC,LTC,False,dydx,LTC-USD,53.745,57.68,28.84,28.84,28.84,28.84,28.84,28.84,28.84,28.84,67.68,67.68,67.68,67.68
2026-08-21 23:06 UTC,ADA,False,hyperliquid,ADA,0.232365,0.43,0.22,0.22,0.22,0.22,0.97,1.02,1.04,1.06,10.19,10.24,10.26,10.27
2026-08-21 23:06 UTC,ADA,False,dydx,ADA-USD,0.23305,115.85,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,125.85,125.85,125.85,125.85
2026-08-21 23:06 UTC,DOT,False,hyperliquid,DOT,0.9472,1.27,0.63,0.63,0.63,0.71,1.93,2.02,2.05,2.17,11.57,11.66,11.69,11.88
2026-08-21 23:06 UTC,DOT,False,dydx,DOT-USD,0.949,84.30,42.15,42.15,42.15,42.15,42.15,42.15,42.15,42.15,94.30,94.30,94.30,94.30
2026-08-21 23:06 UTC,UNI,False,hyperliquid,UNI,4.16635,0.24,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,9.24,9.24,9.24,9.24
2026-08-21 23:06 UTC,UNI,False,dydx,UNI-USD,4.1723,74.78,37.39,37.39,37.39,37.39,37.39,37.39,37.39,37.39,84.78,84.78,84.78,84.78
2026-08-21 23:06 UTC,AAVE,False,hyperliquid,AAVE,120.695,0.83,0.41,0.83,0.97,1.08,0.41,0.41,0.41,0.41,9.83,10.24,10.38,10.49
2026-08-21 23:06 UTC,AAVE,False,dydx,AAVE-USD,120.515,173.42,86.71,86.71,86.71,86.71,86.71,86.71,86.71,86.71,183.42,183.42,183.42,183.42
2026-08-21 23:06 UTC,ARB,False,hyperliquid,ARB,0.099245,3.02,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,12.02,12.02,12.02,12.02
2026-08-21 23:06 UTC,ARB,False,dydx,ARB-USD,0.09903,208.02,104.01,104.01,104.01,104.01,130.99,132.65,133.20,133.64,245.00,246.65,247.21,247.65
2026-08-21 23:06 UTC,POL,False,hyperliquid,POL,0.0950415,0.11,0.05,0.13,0.17,0.21,1.89,2.02,2.07,2.10,10.94,11.15,11.24,11.31
2026-08-21 23:06 UTC,POL,False,dydx,POL-USD,0.095085,99.91,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,109.91,109.91,109.91,109.91
2026-08-21 23:06 UTC,RENDER,False,hyperliquid,RENDER,1.53135,3.27,3.40,4.15,4.40,4.65,1.63,1.63,1.63,1.98,14.03,14.78,15.03,15.63
2026-08-21 23:06 UTC,RENDER,False,dydx,RENDER-USD,1.529,91.56,45.78,45.78,45.78,45.78,45.78,45.78,45.78,45.78,101.56,101.56,101.56,101.56
2026-08-21 23:06 UTC,DOGE,True,hyperliquid,DOGE,0.0937485,0.11,0.33,0.35,0.36,0.37,0.06,0.11,0.13,0.55,9.39,9.46,9.49,9.91
2026-08-21 23:06 UTC,DOGE,True,dydx,DOGE-USD,0.09377,76.78,38.39,38.39,38.39,38.39,38.39,38.39,38.39,38.39,86.78,86.78,86.78,86.78
2026-08-21 23:06 UTC,SHIB,True,hyperliquid,kSHIB,0.0061645,1.62,1.62,2.03,2.16,2.27,0.81,0.81,0.81,0.81,11.43,11.84,11.97,12.08
2026-08-21 23:06 UTC,SHIB,True,dydx,SHIB-USD,6.3325e-06,453.22,226.61,226.61,226.61,226.61,345.22,349.08,350.37,424.23,581.83,585.69,586.98,660.83
2026-08-21 23:06 UTC,PEPE,True,hyperliquid,kPEPE,0.0041545,2.41,1.20,1.20,1.20,1.20,1.20,2.20,2.71,4.03,11.41,12.40,12.91,14.24
2026-08-21 23:06 UTC,PEPE,True,dydx,PEPE-USD,4.12075e-06,262.33,152.44,206.67,224.88,239.49,131.17,131.17,131.17,131.17,293.61,347.84,366.04,380.65
2026-08-21 23:06 UTC,WIF,True,hyperliquid,WIF,0.2018,3.96,2.68,2.82,2.87,2.98,3.27,4.55,5.18,5.69,14.94,16.37,17.05,17.66
2026-08-21 23:06 UTC,WIF,True,dydx,WIF-USD,0.20159,67.46,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,77.46,77.46,77.46,77.46
2026-08-21 23:06 UTC,BONK,True,hyperliquid,kBONK,0.003124,6.40,3.20,3.20,3.20,3.20,3.20,3.20,3.20,3.20,15.40,15.40,15.40,15.40
2026-08-21 23:06 UTC,BONK,True,dydx,BONK-USD,3.117e-06,70.58,35.29,35.29,35.29,35.29,35.29,35.29,35.29,35.29,80.58,80.58,80.58,80.58
2026-08-21 23:06 UTC,TRUMP,True,hyperliquid,TRUMP,1.86825,0.54,0.27,0.27,0.27,0.46,1.68,1.78,1.81,1.83,10.95,11.04,11.08,11.29
2026-08-21 23:06 UTC,TRUMP,True,dydx,TRUMP-USD,1.86805,89.40,44.70,44.70,44.70,44.70,44.70,44.70,44.70,44.70,99.40,99.40,99.40,99.40
