zeit,preis,adressen_ueber_1k,btc_ueber_1k,anteil_ueber_1k,"adr_1,000","btc_1,000","adr_10,00","btc_10,00","adr_100,0","btc_100,0"
2026-08-21 22:33,77480,2025,7234457,36.05,1935,4224235,86,2284192,4,726030
2026-08-22 08:30,77224,2027,7234842,36.05,1936,4214264,87,2294548,4,726030
2026-08-23 08:30,76204,2026,7238404,36.06,1935,4213348,87,2299026,4,726030
2026-08-24 08:30,77363,2026,7235398,36.06,1937,4230176,85,2271539,4,733683
2026-08-25 08:30,80757,2026,7233675,36.04,1938,4236036,84,2263956,4,733683
2026-08-26 08:30,78911,2024,7232584,36.03,1935,4218145,85,2280756,4,733683
2026-08-27 08:30,78612,2022,7226665,36.01,1933,4209629,85,2283353,4,733683
2026-08-28 08:30,79852,2005,7206758,35.9,1917,4197625,84,2275450,4,733683
2026-08-29 08:30,77409,2006,7205635,35.89,1917,4185991,85,2285961,4,733683
2026-08-30 08:30,78181,2003,7202353,35.87,1914,4182142,85,2286528,4,733683
2026-08-31 08:30,78002,2002,7202226,35.87,1913,4181261,85,2287282,4,733683
